CODE;NAAM;NAMESPACE;GERELATEERDMEETOBJECT;GERELATEERDMEETOBJECTROL_ID;WATERTYPE;XCOORD;YCOORD;ZCOORD;REFERENTIEVLAK;MORFOLOGIE;TOEGANKELIJKHEID;MEETNET_HISTORIE;MEETNET_ACTUEEL;FEWSFILTER_HISTORIE;FEWSFILTER_ACTUEEL;PROGRAMMA_HISTORIE;PROGRAMMA_ACTUEEL;BODEMSOORT;GAFIDENT;EAGIDENT;OWMIDENT
PZH150;macrofyten 2014;NL11;;;M1a;116650;466428;;;plas_dras;;MACFTGBD;MACFTGBD;KRW;KRW;HYBI;HYBI;Veen;47;2600-EAG-9;
PZH151;macrofyten 2014;NL11;;;M1a;116478;466235;;;plas_dras;;MACFTGBD;;KRW;;HYBI;;Veen;2600;2600-EAG-9;
PZH152;macrofyten 2014;NL11;;;M1a;116482;465988;;;plas_dras;;MACFTGBD;MACFTGBD;KRW;KRW;HYBI;HYBI;Veen;47;2600-EAG-9;
UHP167;macrofyten 2014;NL11;;;M25;116205;472227;;;lijnvormig;;historieVIS_MACFTGBD;MACFTGBD;KRW_Onderzoek;KRW;HYBI;HYBI;Bebouwing;2140;2140-EAG-3;
UHP168;macrofyten 2014;NL11;;;M25;115979;472547;;;lijnvormig;;MACFTGBD;MACFTGBD;KRW;KRW;HYBI;HYBI;Water;2140;2140-EAG-3;
UHP169;macrofyten 2014;NL11;;;M25;116146;472196;;;lijnvormig;;historieVIS_MACFTGBD;MACFTGBD;KRW_Onderzoek;KRW;HYBI;HYBI;Water;2140;2140-EAG-3;
UHP170;macrofyten 2014;NL11;;;M25;116538;472008;;;lijnvormig;;MACFTGBD;MACFTGBD;KRW;KRW;HYBI;HYBI;Water;46;2140-EAG-3;
WLP185;macrofyten 2014;NL11;;;M20;131833;468791;;;plas;;;;;;;;Water;48;3310-EAG-2;NL11_3_9
PKH431;macrofyten 2014;NL11;;;M20;133116;471362;;;plas;;;;;;;;Water;3230;3230-EAG-2;NL11_3_7
HUI124;macrofyten 2014;NL11;;;M3;145495.1167;478950.35;;;lijnvormig;;MACFTGBD;;KRW;;HYBI;;Lichte zavel;7100;7100-EAG-2;
HUI125;macrofyten 2014;NL11;;;M3;146751.6133;478766.4817;;;lijnvormig;;MACFTGBD;;KRW;;HYBI;;Lichte klei;70;7000-EAG-1;
GZK131;macrofyten 2014;NL11;;;M1a;148165;478389;;;lijnvormig;;MACFTGBD;MACFTGBD;KRW;KRW;HYBI;HYBI;Lichte zavel;72;7020-EAG-2;
PKH432;macrofyten 2014;NL11;;;M20;130988.2062;470823.5021;;;lijnvormig;;MACFTEM_MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT_MACFTN2000_MACFTOZ_VASTECOMACFT;;Evaluatie_KRW_Onderzoek;;HYBI;;Zware klei;3230;3230-EAG-2;NL11_3_7
PKH433;macrofyten 2014;NL11;;;M20;131108;471000;;;lijnvormig;;MACFTEM_MACFTGBD_MACFTKRW_MACFTKRWOM_MACFTKRWTT_MACFTN2000_MACFTOZ_VASTECOMACFT;;Evaluatie_KRW_Onderzoek;;HYBI;;Zware klei;48;3230-EAG-2;NL11_3_7
GOO101;macrofyten 2014;NL11;;;M11;138587;476803;;;lijnvormig;;;;;;;;Bebouwing;5000;5000-EAG-2;
HUI126;macrofyten 2014;NL11;;;M3;146034;478651;;;lijnvormig;;MACFTGBD;;KRW;;HYBI;;Veen;78;7100-EAG-2;
PKH434;macrofyten 2014;NL11;;;M20;131299.2141;471132.1401;;;lijnvormig;Stier met pinken in de wei ook na derde bezoek. In mail RH op 28-8-2017 is een alternatief punt voorgesteld in tekening met gebied rond PKH434.;MACFTEM_MACFTKRW_MACFTOZ_VASTECOMACFT_VISKRW;;Evaluatie_KRW_Onderzoek;;HYBI;;Zware klei;48;3230-EAG-2;NL11_3_7
HUI127;macrofyten 2014;NL11;;;M3;146579.0433;478070.8833;;;lijnvormig;;MACFTGBD;;KRW;;HYBI;;Zware klei;7020;7020-EAG-1;
KOP152;macrofyten 2014;NL11;;;M8;136664.0312;479494.5075;;;lijnvormig;;MACFTEM_MACFTGBD_MACFTN2000;MACFTGBD;Evaluatie_KRW;KRW;HYBI;HYBI;Lichte zavel;48;4140-EAG-3;
WGM107;macrofyten 2014;NL11;;;M1a;123825.7612;483842.6988;;;lijnvormig;;MACFTGBD;;KRW;;HYBI;;Bebouwing;6400;6400-EAG-1;
NBW197;macrofyten 2014;NL11;;;M8;118511.2958;465075.8942;;;lijnvormig;;MACFTGBD;;KRW;;HYBI;;Veen;2630;2630-EAG-1;
PZH153;macrofyten 2014;NL11;;;M1a;114285.1642;469653.555;;;lijnvormig;;MACFTGBD;MACFTGBD;KRW;KRW;HYBI;HYBI;Zware klei;47;2600-EAG-1;NL11_2_4
