"locatie";"XCOORD";"YCOORD";"EAGIDENT";"trend_beschr";"pvalue";"slope"
"172";"SAP011";133947;475008;"3201-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie SAP011.";0.58306143282351;0.0288638536882447
"173";"SBI001";114575;484123;"8070-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie SBI001.";0.000750823825229154;-0.188485564720134
"174";"SBI010";116234;486509;"8070-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie SBI010.";0.102316292329437;-0.0792107673952382
"175";"SBI027";116848.985;488061.6283;"8070-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie SBI027.";0.138571506128901;-0.0948148362065283
"176";"SBI031";117760.0583;485046.5983;"8070-EAG-2";"CHLFa blijft gelijk in de tijd op meetlocatie SBI031.";0.00276231174148147;-0.18745479475491
"177";"SBI054";116234;486509;"8070-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie SBI054.";0.840346372894549;-0.0155836122151908
"178";"SBI056";116234;486509;"8070-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie SBI056.";0.00998091310680196;0.209197935622427
"179";"SBI059";116234;486509;"8070-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie SBI059.";7.17334582207086e-05;0.35090954892539
"180";"SBI060";116234;486509;"8070-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie SBI060.";5.01009273286201e-05;0.357640743806475
"181";"SBI061";116234;486509;"8070-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie SBI061.";0.127161291858565;0.119746820157223
"182";"SBP001";132882;476824;"3200-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie SBP001.";0.351292600180966;-0.0685445957927587
"183";"SBP013";132326.92;475182.555;"3260-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie SBP013.";0.175837858431982;0.0859774336537335
"184";"SBP050";132688;476023;"3200-EAG-1";"CHLFa blijft gelijk in de tijd op meetlocatie SBP050.";0.148152339257273;-0.0807436043557336
